Gender,Education,Marital Status,Home Status,Employment Type,Region,Industry,Has Mortgage,Prior Default,Age,Annual Income($),Employment Years,Months At Address,Credit Score,Num Credit Cards,Credit Utilization(%),Num Late Payments,Num Inquiries 6M,Monthly Debt($),Savings Balance($),Approved
Female,Masters,Single,Rent,Salaried,Rural,Healthcare,No,No,21,61869.0,4.0,50.0,,2,71.4,1,4,923.0,547.0,0
Female,High School,Single,Rent,Unemployed,Urban,Tech,Yes,No,23,45797.0,,269.0,715.0,3,29.4,0,2,1360.0,746.0,0
Female,High School,Married,Rent,Self-Employed,Urban,Tech,Yes,No,46,14590.0,12.0,278.0,730.0,2,12.8,1,1,1164.0,698.0,0
Male,PhD,Married,Rent,Self-Employed,Urban,Other,No,No,61,89970.0,10.0,120.0,679.0,2,46.0,0,1,0.0,4614.0,0
Male,Bachelors,Single,Rent,Salaried,Suburban,Other,Yes,No,24,35425.0,34.0,187.0,632.0,3,54.0,0,2,2119.0,1790.0,0
Female,Bachelors,Single,Own,Unemployed,Rural,Finance,No,No,69,,0.0,216.0,548.0,2,18.2,2,0,2478.0,1226.0,0
Male,High School,Married,Rent,Self-Employed,Rural,Finance,No,No,55,40216.0,34.0,14.0,807.0,4,14.8,1,2,2183.0,806.0,0
Female,High School,Married,Rent,Salaried,Urban,Retail,Yes,No,57,93851.0,21.0,180.0,696.0,6,36.3,1,0,340.0,8228.0,1
Female,High School,Married,Rent,Unemployed,Urban,Other,No,No,46,103844.0,0.0,,691.0,4,79.6,4,2,0.0,17109.0,0
Male,High School,Married,Rent,Self-Employed,Urban,Retail,No,Yes,25,,27.0,266.0,469.0,1,13.0,2,1,1882.0,4641.0,0
Male,Masters,Married,Rent,Salaried,Urban,Healthcare,No,Yes,69,44205.0,17.0,217.0,744.0,2,19.5,0,4,484.0,15232.0,0
Male,Bachelors,Married,Living with Parents,Salaried,Rural,Tech,No,Yes,51,82263.0,30.0,68.0,727.0,2,63.0,0,0,1689.0,3309.0,0
Male,Bachelors,Married,Rent,,Suburban,Retail,Yes,No,38,86943.0,36.0,255.0,788.0,3,38.2,0,0,2073.0,4062.0,1
Male,Bachelors,Single,Rent,Salaried,Urban,Tech,No,No,58,18452.0,39.0,213.0,595.0,0,15.6,1,2,608.0,9917.0,0
Male,Bachelors,Married,Living with Parents,Salaried,Urban,Other,No,No,45,62382.0,22.0,297.0,644.0,5,40.8,0,1,1382.0,6562.0,1
Female,High School,Married,Rent,Salaried,Urban,Tech,No,No,74,126008.0,24.0,110.0,626.0,1,17.5,1,1,2893.0,976.0,1
Female,Bachelors,Single,Own,Salaried,Urban,Manufacturing,No,No,61,21319.0,,244.0,774.0,1,47.8,0,3,2139.0,3394.0,0
Female,Bachelors,Married,Mortgage,Self-Employed,Urban,Other,No,Yes,54,,33.0,68.0,651.0,4,23.5,0,2,290.0,13505.0,1
Female,Masters,Married,Own,Contract,Urban,Tech,Yes,No,23,81256.0,6.0,40.0,,0,72.5,0,0,1804.0,1561.0,0
Female,Bachelors,Married,Rent,Salaried,Urban,Other,No,Yes,55,41652.0,21.0,285.0,850.0,0,44.9,0,0,1558.0,2029.0,0
Male,High School,Divorced,Mortgage,Salaried,Urban,Retail,No,Yes,67,65431.0,1.0,50.0,727.0,2,44.6,0,3,1371.0,9429.0,0
Male,PhD,Single,Rent,Salaried,Urban,Tech,No,No,32,14109.0,2.0,160.0,611.0,5,62.5,0,2,2100.0,3459.0,0
Female,High School,Married,Own,Self-Employed,Rural,Tech,Yes,No,22,45037.0,25.0,67.0,597.0,0,23.3,1,3,1091.0,1083.0,0
Male,High School,Married,Rent,Contract,Urban,Finance,No,No,66,,27.0,29.0,745.0,1,23.3,2,1,1620.0,2528.0,1
Male,Bachelors,Married,Mortgage,Salaried,Suburban,Other,No,No,65,108229.0,21.0,180.0,651.0,1,13.9,0,2,2662.0,11019.0,1
Male,Masters,Married,Mortgage,,Urban,Retail,No,No,21,104236.0,36.0,67.0,694.0,2,87.2,0,0,2127.0,4457.0,0
Male,Masters,Married,Rent,Contract,Rural,Retail,No,No,37,34150.0,3.0,127.0,,1,54.0,2,1,1937.0,3356.0,0
Female,Bachelors,Married,Living with Parents,Unemployed,Suburban,Retail,No,No,34,74190.0,0.0,123.0,850.0,1,12.9,1,1,0.0,28187.0,1
Female,High School,Divorced,Own,Salaried,Urban,Manufacturing,Yes,No,45,61869.0,32.0,58.0,,2,23.7,0,1,1065.0,,1
Male,High School,Single,Rent,Salaried,Urban,Retail,No,No,64,35036.0,6.0,40.0,786.0,0,57.5,1,0,1906.0,1284.0,0
Male,Bachelors,Single,Mortgage,Salaried,Urban,Other,No,No,32,120007.0,18.0,94.0,837.0,3,35.0,0,0,0.0,8709.0,1
Male,Bachelors,Single,Rent,Self-Employed,Suburban,Healthcare,No,No,25,,19.0,2.0,604.0,1,62.4,2,3,795.0,12799.0,0
Male,High School,Single,Own,Retired,Suburban,Healthcare,Yes,No,68,84330.0,17.0,104.0,621.0,3,28.9,2,1,1291.0,,0
Male,Bachelors,Single,Mortgage,Contract,Urban,Other,No,No,74,95052.0,6.0,299.0,769.0,1,61.3,1,2,675.0,3306.0,1
Female,Masters,Single,Mortgage,Retired,Suburban,Other,Yes,Yes,28,55466.0,33.0,,652.0,3,14.1,0,0,958.0,1637.0,0
Male,High School,Single,Rent,Retired,Urban,Retail,Yes,No,26,140601.0,15.0,271.0,694.0,3,70.0,1,2,0.0,21886.0,1
Male,Bachelors,Single,Rent,Self-Employed,Suburban,Manufacturing,No,No,65,43502.0,36.0,167.0,724.0,1,20.5,1,3,1400.0,6244.0,1
Male,Bachelors,Married,Rent,Salaried,Urban,Other,Yes,No,29,58355.0,23.0,73.0,803.0,1,40.3,1,1,2651.0,8029.0,1
Female,Bachelors,Married,Mortgage,Unemployed,Suburban,Other,No,No,46,53647.0,0.0,132.0,656.0,3,93.3,1,0,516.0,2018.0,0
Male,High School,Single,Own,Salaried,Rural,Other,Yes,No,54,37613.0,38.0,114.0,,3,44.0,0,1,1259.0,752.0,1
Male,Masters,Married,Mortgage,Salaried,Suburban,Retail,No,No,19,31861.0,21.0,153.0,721.0,0,72.2,1,0,1166.0,1170.0,0
Female,High School,Single,Own,Salaried,Suburban,Tech,Yes,No,29,83813.0,25.0,298.0,726.0,1,62.1,0,1,455.0,8951.0,1
Male,Bachelors,Married,Own,Salaried,Urban,Retail,No,No,73,,11.0,31.0,616.0,5,34.5,0,2,2505.0,6233.0,0
Female,High School,Single,Rent,Unemployed,Urban,,Yes,Yes,19,46207.0,0.0,4.0,634.0,4,52.2,1,2,1079.0,3969.0,0
Female,High School,Single,Own,Unemployed,Rural,Retail,No,No,68,49521.0,0.0,118.0,640.0,0,44.5,0,5,1303.0,1904.0,0
Female,PhD,Married,Rent,Salaried,Urban,Retail,No,No,52,106008.0,36.0,184.0,767.0,1,15.2,1,0,937.0,2169.0,1
Male,High School,Married,Rent,Salaried,Suburban,Healthcare,Yes,No,45,147307.0,23.0,277.0,526.0,4,59.0,0,3,0.0,20343.0,0
Female,PhD,Divorced,Rent,Contract,Suburban,Other,Yes,Yes,48,21592.0,31.0,179.0,571.0,4,36.0,1,1,0.0,5095.0,0
Male,Masters,Single,Rent,Salaried,Suburban,Finance,No,Yes,74,57069.0,35.0,178.0,679.0,2,32.5,0,0,1818.0,,0
Female,Bachelors,Single,Rent,Salaried,Rural,Retail,Yes,No,39,33056.0,34.0,254.0,629.0,2,43.4,1,2,2414.0,10733.0,0
Male,Bachelors,Single,Rent,Salaried,Urban,Retail,No,No,51,,9.0,291.0,,4,67.4,2,1,1619.0,9314.0,0
Female,High School,Married,Mortgage,Unemployed,Urban,Finance,No,No,73,23299.0,0.0,22.0,715.0,4,24.4,0,2,937.0,2843.0,0
Male,Masters,Divorced,Living with Parents,Salaried,Urban,Tech,No,No,51,51178.0,17.0,184.0,719.0,3,39.3,0,0,2225.0,8431.0,1
